Region,cond,suvr,suvrd
R_Put_HC,Veh,100,0
R_Put_HC,u817-1,101.68,1.68
R_Put_HC,u817-10,107.74,7.74
R_Put_HC,u817-100,117.39,17.39
R_Put_HC,u817-300,121.83,21.83
R_Put_HC,u792-100,102.68,2.68
R_Put_HC,Vare-100,110.98,10.98
L_Put_LC,Veh,100,0
L_Put_LC,u817-1,95.57,-4.43
L_Put_LC,u817-10,97.34,-2.66
L_Put_LC,u817-100,107.54,7.54
L_Put_LC,u817-300,113.17,13.17
L_Put_LC,u792-100,99.28,-0.72
L_Put_LC,Vare-100,104.03,4.03
R_Cd_HA-HC,Veh,100,0
R_Cd_HA-HC,u817-1,99.23,-0.77
R_Cd_HA-HC,u817-10,111.05,11.05
R_Cd_HA-HC,u817-100,108.09,8.09
R_Cd_HA-HC,u817-300,111.2,11.2
R_Cd_HA-HC,u792-100,105.33,5.33
R_Cd_HA-HC,Vare-100,107.02,7.02
L_Cd_Flag-HC,Veh,100,0
L_Cd_Flag-HC,u817-1,97.41,-2.59
L_Cd_Flag-HC,u817-10,102.41,2.41
L_Cd_Flag-HC,u817-100,108.34,8.34
L_Cd_Flag-HC,u817-300,105.09,5.09
L_Cd_Flag-HC,u792-100,109.04,9.04
L_Cd_Flag-HC,Vare-100,95.84,-4.16
