Region,cond,suvr,ratio,suvrd
L_Cd_Flag-HC,Veh,127.7,100,0
L_Cd_Flag-HC,u817-1,121.89,95.45,-4.55
L_Cd_Flag-HC,u817-10,124.19,97.25,-2.75
L_Cd_Flag-HC,u817-100,130.72,102.36,2.36
L_Cd_Flag-HC,u792-100,129.67,101.54,1.54
L_Cd_Flag-HC,vare-100,127.51,99.85,-0.15
L_Cd_Flag-HC,u817-300,131.47,102.95,2.95
R_Cd_HA-HC,Veh,121.37,100,0
R_Cd_HA-HC,u817-1,124.52,102.6,2.6
R_Cd_HA-HC,u817-10,130.76,107.74,7.74
R_Cd_HA-HC,u817-100,127.88,105.36,5.36
R_Cd_HA-HC,u792-100,122.89,101.25,1.25
R_Cd_HA-HC,vare-100,128.13,105.57,5.57
R_Cd_HA-HC,u817-300,132.13,108.87,8.87
R_PUT_HC,Veh,126.47,100,0
R_PUT_HC,u817-1,125.82,99.49,-0.51
R_PUT_HC,u817-10,133.99,105.95,5.95
R_PUT_HC,u817-100,146.82,116.09,16.09
R_PUT_HC,u792-100,127.44,100.77,0.77
R_PUT_HC,vare-100,138.05,109.16,9.16
R_PUT_HC,u817-300,150.61,119.09,19.09
L_PUT_LC,Veh,128.66,100,0
L_PUT_LC,u817-1,123.58,96.05,-3.95
L_PUT_LC,u817-10,125.85,97.82,-2.18
L_PUT_LC,u817-100,139.52,108.44,8.44
L_PUT_LC,u792-100,127.45,99.06,-0.94
L_PUT_LC,vare-100,132.39,102.9,2.9
L_PUT_LC,u817-300,145.41,113.02,13.02
